date,rf_returns
21/01/2001,5.7946510461093226e-05
06/08/2001,0.00010091807451129142
07/08/2001,0.0001009178888904394
08/08/2001,0.00010005797744483402
09/08/2001,0.00010010794165049575
10/08/2001,9.980807185638874e-05
13/08/2001,9.949829712585512e-05
14/08/2001,9.863900950479731e-05
15/08/2001,9.750020485732591e-05
16/08/2001,9.641168785790022e-05
17/08/2001,9.61126868657125e-05
20/08/2001,9.666282992037978e-05
20/08/2001,0.00010094830984108683
21/08/2001,9.497591017426643e-05
22/08/2001,9.607533696476267e-05
23/08/2001,9.700470150786344e-05
24/08/2001,9.725487846878877e-05
27/08/2001,9.78044747290685e-05
28/08/2001,9.808439166669736e-05
29/08/2001,9.66574488758809e-05
30/08/2001,0.00010091962610059291
30/08/2001,9.500176930821169e-05
31/08/2001,9.413461709240067e-05
04/09/2001,9.525319040326607e-05
05/09/2001,9.580279313770035e-05
06/09/2001,9.558413277055422e-05
07/09/2001,9.413867926122421e-05
10/09/2001,9.441904927398603e-05
11/09/2001,9.469933912198414e-05
13/09/2001,9.324448911463001e-05
14/09/2001,9.180998865954138e-05
17/09/2001,6.752519204100693e-05
18/09/2001,6.299466676717991e-05
19/09/2001,5.228457265760156e-05
20/09/2001,5.655808487903258e-05
21/09/2001,5.9943793772720966e-05
24/09/2001,6.668770919215916e-05
25/09/2001,7.122780977653065e-05
26/09/2001,6.98076494813904e-05
27/09/2001,6.474070525452902e-05
28/09/2001,6.247467197595391e-05
30/09/2001,9.442352138644416e-05
01/10/2001,6.218592099993536e-05
02/10/2001,6.050845833338592e-05
03/10/2001,6.105266752354233e-05
04/10/2001,6.163661979385893e-05
05/10/2001,6.105513775955806e-05
08/10/2001,6.13302747738409e-05
09/10/2001,6.247177977036777e-05
10/10/2001,6.30354954966883e-05
11/10/2001,6.418660230234075e-05
12/10/2001,6.389373117365871e-05
15/10/2001,6.499479956967313e-05
16/10/2001,6.47317282524984e-05
17/10/2001,6.471758330750532e-05
18/10/2001,6.36084595309061e-05
19/10/2001,6.389307228094054e-05
22/10/2001,6.38889902169204e-05
23/10/2001,6.388490867470509e-05
24/10/2001,6.330362123474487e-05
25/10/2001,6.333941895952933e-05
26/10/2001,6.305679124274377e-05
29/10/2001,6.274436697184527e-05
30/10/2001,6.191463656035623e-05
31/10/2001,6.161234216683908e-05
05/11/2001,5.7112007818993504e-05
06/11/2001,5.428364886683745e-05
07/11/2001,5.341531453462167e-05
08/11/2001,5.3163800125100025e-05
09/11/2001,5.344940573626111e-05
12/11/2001,5.343660365575431e-05
13/11/2001,5.4279061683981666e-05
14/11/2001,5.56981538344381e-05
15/11/2001,5.600330857036262e-05
16/11/2001,5.624875268606111e-05
19/11/2001,5.6245588941905567e-05
20/11/2001,5.569561038565318e-05
21/11/2001,5.4837536094698436e-05
22/11/2001,5.510293597232874e-05
23/11/2001,5.541799412234205e-05
26/11/2001,5.541492313843044e-05
27/11/2001,5.570009352129368e-05
28/11/2001,5.4275743916587516e-05
29/11/2001,5.3447923242577744e-05
30/11/2001,5.1745716322715296e-05
04/12/2001,5.088843900713513e-05
05/12/2001,5.061755855928496e-05
06/12/2001,4.8359479430049035e-05
07/12/2001,4.6668068795385764e-05
10/12/2001,4.580152383559799e-05
11/12/2001,4.580936095166521e-05
12/12/2001,4.666161617850051e-05
13/12/2001,4.6947521521900626e-05
14/12/2001,4.694531755577991e-05
17/12/2001,4.7499358902580724e-05
18/12/2001,4.721899347770453e-05
19/12/2001,4.580641887574899e-05
20/12/2001,4.611219887551421e-05
21/12/2001,4.580220870331608e-05
24/12/2001,4.611789143194045e-05
25/12/2001,4.579799884973923e-05
26/12/2001,4.75038145544282e-05
27/12/2001,4.835547401738083e-05
28/12/2001,4.750918997520337e-05
31/12/2001,4.666302714917414e-05
04/01/2002,4.749478840504473e-05
07/01/2002,4.6946527468616495e-05
08/01/2002,4.722227687525837e-05
09/01/2002,4.5254613084466655e-05
10/01/2002,4.6662055054103035e-05
10/01/2002,4.639188872057609e-05
11/01/2002,3.988882144811967e-05
11/01/2002,4.496865909753289e-05
14/01/2002,4.469868309087133e-05
15/01/2002,4.5252416640328974e-05
16/01/2002,4.438703954412482e-05
17/01/2002,4.4136997270571854e-05
18/01/2002,4.4115204385519746e-05
20/01/2002,4.805229645610254e-05
21/01/2002,4.383333573598769e-05
22/01/2002,4.608350388446425e-05
23/01/2002,4.6359158258235666e-05
24/01/2002,4.608916427972787e-05
25/01/2002,4.694013647599249e-05
28/01/2002,4.7225591711885784e-05
29/01/2002,4.6935716636165026e-05
30/01/2002,4.667563732874136e-05
30/01/2002,4.7804095089087895e-05
31/01/2002,4.638362348874381e-05
04/02/2002,4.666906305916818e-05
05/02/2002,4.666688515952977e-05
06/02/2002,4.666470746284013e-05
07/02/2002,4.722771573417717e-05
08/02/2002,4.638270430801228e-05
10/02/2002,4.6945685913568624e-05
11/02/2002,4.7776270397870135e-05
12/02/2002,4.8061484438477464e-05
13/02/2002,4.7771691956466356e-05
14/02/2002,4.8364173283577117e-05
15/02/2002,4.749946914972547e-05
18/02/2002,4.777474268280457e-05
19/02/2002,4.778237166491728e-05
20/02/2002,4.778008861872074e-05
21/02/2002,4.750031594213944e-05
21/02/2002,3.4526025503023305e-05
22/02/2002,4.8358549790128436e-05
25/02/2002,4.864357408518316e-05
26/02/2002,4.89087396013943e-05
27/02/2002,4.8916255746656034e-05
28/02/2002,4.864635763479619e-05
04/03/2002,4.891148369812193e-05
05/03/2002,4.86416121481259e-05
06/03/2002,4.836187377321721e-05
07/03/2002,4.891425315589615e-05
08/03/2002,4.892176586501762e-05
10/03/2002,4.890946793101314e-05
11/03/2002,4.947161688551027e-05
12/03/2002,4.947907330321577e-05
13/03/2002,4.8912140129919734e-05
14/03/2002,4.9503913646331554e-05
15/03/2002,4.919449266460596e-05
18/03/2002,4.8914822678325365e-05
19/03/2002,4.918966658173929e-05
20/03/2002,4.8642702273005156e-05
21/03/2002,4.9224455925367394e-05
22/03/2002,4.919233346045715e-05
25/03/2002,4.8912731648531604e-05
26/03/2002,4.947457516135678e-05
27/03/2002,4.8917817996541046e-05
28/03/2002,4.8638283941526694e-05
29/03/2002,4.863591837400705e-05
04/04/2002,4.892056423666524e-05
05/04/2002,4.836396971930057e-05
08/04/2002,4.836163075894184e-05
09/04/2002,4.7775457723497894e-05
10/04/2002,4.721905400062454e-05
10/04/2002,4.919573580242087e-05
11/04/2002,4.7531111952325844e-05
12/04/2002,4.749917205404408e-05
15/04/2002,4.721990835654388e-05
16/04/2002,4.694068418831243e-05
17/04/2002,4.608775181158542e-05
18/04/2002,4.6946209417031426e-05
19/04/2002,4.639009400375649e-05
20/04/2002,4.918704389722528e-05
22/04/2002,4.581202119102734e-05
23/04/2002,4.607694929648076e-05
24/04/2002,4.58078118616978e-05
25/04/2002,4.638916289034789e-05
26/04/2002,4.666388937901722e-05
29/04/2002,4.7779061708386195e-05
30/04/2002,4.892373807652284e-05
30/04/2002,4.8357780262575645e-05
06/05/2002,4.8078616635249816e-05
07/05/2002,4.777972095371119e-05
08/05/2002,4.8054236892580704e-05
09/05/2002,4.780479794486148e-05
10/05/2002,4.7782743312740905e-05
10/05/2002,4.7503701255946496e-05
13/05/2002,4.8638079415574964e-05
14/05/2002,4.863571386781729e-05
15/05/2002,4.8356629639645377e-05
16/05/2002,4.7810762669131535e-05
17/05/2002,4.777883130557825e-05
20/05/2002,4.7776548597999735e-05
20/05/2002,4.808057474336991e-05
21/05/2002,4.778184965337218e-05
22/05/2002,4.693976864955651e-05
23/05/2002,4.753033618021263e-05
24/05/2002,4.749844002494008e-05
27/05/2002,4.7219583956925604e-05
28/05/2002,4.805699351995152e-05
29/05/2002,4.777811043465974e-05
30/05/2002,4.749926728742082e-05
30/05/2002,4.750688790622348e-05
31/05/2002,4.7218220651013e-05
04/06/2002,4.777890930918183e-05
05/06/2002,4.722361065967462e-05
06/06/2002,4.780399497028576e-05
07/06/2002,4.8078191550615657e-05
10/06/2002,4.836222242166066e-05
11/06/2002,4.835988363027788e-05
12/06/2002,4.750847424506155e-05
13/06/2002,4.7525962192151994e-05
14/06/2002,4.6941256862220726e-05
17/06/2002,4.694892499901293e-05
18/06/2002,4.6936849849466e-05
19/06/2002,4.608577629983124e-05
20/06/2002,4.638962663205959e-05
21/06/2002,4.63874747342885e-05
24/06/2002,4.581290841176866e-05
25/06/2002,4.722204315887879e-05
26/06/2002,4.7496125730184247e-05
27/06/2002,4.666497216265775e-05
28/06/2002,4.666279464471401e-05
30/06/2002,4.7509171589021904e-05
04/07/2002,4.722078777863459e-05
05/07/2002,4.721855808109687e-05
08/07/2002,4.750242837059382e-05
09/07/2002,4.750017199683931e-05
10/07/2002,4.749791583780194e-05
10/07/2002,4.694327007892518e-05
11/07/2002,4.7532884959400334e-05
12/07/2002,4.7215004188583265e-05
15/07/2002,4.7222637743482565e-05
16/07/2002,4.7220407871195746e-05
17/07/2002,4.7504169681689135e-05
18/07/2002,4.722579656224468e-05
19/07/2002,4.722356639175196e-05
20/07/2002,4.6659295050099914e-05
22/07/2002,4.750507075712562e-05
23/07/2002,4.721689017861408e-05
24/07/2002,4.667241688460777e-05
25/07/2002,4.7222315850747876e-05
26/07/2002,4.722008600888117e-05
29/07/2002,4.750372648953949e-05
30/07/2002,4.7491612870764754e-05
30/07/2002,4.694724157117136e-05
31/07/2002,4.7782813864305496e-05
05/08/2002,4.638101852960652e-05
06/08/2002,4.695047268166164e-05
07/08/2002,4.580511160789946e-05
08/08/2002,4.63844201799013e-05
09/08/2002,4.611621368622032e-05
10/08/2002,4.721767206894434e-05
12/08/2002,4.6387793003033195e-05
13/08/2002,4.6395493790596376e-05
14/08/2002,4.6659346915944866e-05
15/08/2002,4.611533201215323e-05
16/08/2002,4.6113205486086883e-05
19/08/2002,4.638689847213939e-05
20/08/2002,4.607938960710101e-05
20/08/2002,4.5535528546913895e-05
21/08/2002,4.636079892383904e-05
22/08/2002,4.611242785079739e-05
23/08/2002,4.611030159296092e-05
26/08/2002,4.607863163386128e-05
27/08/2002,4.6943089544448924e-05
28/08/2002,4.7226450435866596e-05
29/08/2002,4.722422020386752e-05
30/08/2002,4.7221990181922635e-05
04/09/2002,4.66585580478629e-05
05/09/2002,4.6361025265673206e-05
06/09/2002,4.66739076689926e-05
09/09/2002,4.749864879882715e-05
10/09/2002,4.722076604890546e-05
11/09/2002,4.721853635358819e-05
12/09/2002,4.6950549043911494e-05
13/09/2002,4.638732683659441e-05
16/09/2002,4.667059210095026e-05
17/09/2002,4.638301042980686e-05
18/09/2002,4.5810078362906737e-05
19/09/2002,4.497152913507385e-05
20/09/2002,4.5245031117913115e-05
20/09/2002,4.6945253834307366e-05
23/09/2002,4.581153661242787e-05
24/09/2002,4.638008822710482e-05
25/09/2002,4.6082786998802305e-05
26/09/2002,4.612001502213303e-05
27/09/2002,4.524235648628583e-05
30/09/2002,4.695194569181993e-05
30/09/2002,4.4106985132019716e-05
01/10/2002,4.4970615951545057e-05
02/10/2002,4.411289210048963e-05
03/10/2002,4.383556017550916e-05
04/10/2002,4.44138910442593e-05
07/10/2002,4.439224984098544e-05
08/10/2002,4.439027925662309e-05
09/10/2002,4.3277126104523944e-05
10/10/2002,4.4130728630520366e-05
11/10/2002,4.411894857914156e-05
14/10/2002,4.4107170001028706e-05
15/10/2002,4.5806117168645244e-05
16/10/2002,4.552874271013252e-05
17/10/2002,4.5801933759914704e-05
18/10/2002,4.58096664393004e-05
21/10/2002,4.6387535072689445e-05
22/10/2002,4.6670438702323125e-05
23/10/2002,4.6078518542547187e-05
24/10/2002,4.552599478269137e-05
25/10/2002,4.5248734475311636e-05
28/10/2002,4.41165027109669e-05
29/10/2002,4.3279239688720494e-05
30/10/2002,4.3002215390552934e-05
31/10/2002,4.1025258047611146e-05
04/11/2002,3.988375834906854e-05
05/11/2002,3.9616876117198885e-05
06/11/2002,3.4250733902396746e-05
07/11/2002,3.282495201761826e-05
08/11/2002,3.283369914131029e-05
11/11/2002,3.281297263812988e-05
12/11/2002,3.310661361100031e-05
13/11/2002,3.339040187544384e-05
14/11/2002,3.338928699370136e-05
15/11/2002,3.369268331843145e-05
18/11/2002,3.3976403814861555e-05
19/11/2002,3.396542718303586e-05
20/11/2002,3.339460096718483e-05
21/11/2002,3.397296099971747e-05
22/11/2002,3.3971806877142185e-05
25/11/2002,3.4245639325414245e-05
26/11/2002,3.425428721182122e-05
27/11/2002,3.4243293622449045e-05
28/11/2002,3.508663565954251e-05
29/11/2002,3.452568784823029e-05
04/12/2002,3.4249556763787936e-05
05/12/2002,3.36985243993837e-05
06/12/2002,3.369738884706486e-05
09/12/2002,3.4246075687471844e-05
10/12/2002,3.425472085338832e-05
11/12/2002,3.3968837597209145e-05
12/12/2002,3.341791777433656e-05
13/12/2002,3.311247648585258e-05
16/12/2002,3.311138008577075e-05
17/12/2002,3.311028375851954e-05
18/12/2002,3.283434100231908e-05
19/12/2002,3.283326294400979e-05
20/12/2002,3.227271274597321e-05
23/12/2002,3.141776754156389e-05
24/12/2002,3.1141969545345205e-05
25/12/2002,3.097415544339732e-05
26/12/2002,3.085542726855017e-05
27/12/2002,2.9166507765410188e-05
30/12/2002,3.1412943604758325e-05
31/12/2002,3.16965387900936e-05
06/01/2003,3.199973277623336e-05
07/01/2003,3.199870882597544e-05
08/01/2003,3.200749717224838e-05
09/01/2003,3.2271394480032356e-05
10/01/2003,3.1976005064437985e-05
10/01/2003,3.227913251313552e-05
13/01/2003,3.227809060435405e-05
14/01/2003,3.227704876285209e-05
15/01/2003,3.2276006988629646e-05
16/01/2003,3.2274965281464674e-05
17/01/2003,3.1999251951297936e-05
20/01/2003,3.255736322449465e-05
20/01/2003,3.199718628787984e-05
21/01/2003,3.22806164285705e-05
22/01/2003,3.1700876492957164e-05
23/01/2003,3.169006345071779e-05
24/01/2003,3.141444032461749e-05
27/01/2003,3.169787126910961e-05
28/01/2003,3.2000889709005165e-05
29/01/2003,3.1695852250601675e-05
30/01/2003,3.227343553025008e-05
30/01/2003,3.255677546176727e-05
31/01/2003,3.1996777062559545e-05
31/01/2003,2.6416352863600778e-05
04/02/2003,3.17007471435371e-05
05/02/2003,3.1689937183054795e-05
06/02/2003,3.200268477421275e-05
07/02/2003,3.200166063521692e-05
10/02/2003,3.22751518262443e-05
11/02/2003,3.2274110174590476e-05
11/02/2003,2.6694886321454447e-05
12/02/2003,3.255650052724768e-05
13/02/2003,3.22809593540363e-05
14/02/2003,3.2554389749250845e-05
17/02/2003,3.250431865842174e-05
18/02/2003,3.2826726471979484e-05
19/02/2003,3.28354505403361e-05
20/02/2003,3.283437240897413e-05
21/02/2003,2.641365022926223e-05
21/02/2003,3.283242712415202e-05
24/02/2003,3.3389972147412905e-05
25/02/2003,3.452566605477436e-05
26/02/2003,3.4250081433429e-05
27/02/2003,3.3974525162072666e-05
28/02/2003,3.311105289371952e-05
04/03/2003,3.339412016956089e-05
05/03/2003,3.3108850947316526e-05
06/03/2003,3.2833408195598324e-05
07/03/2003,3.199951967403081e-05
10/03/2003,3.1136319490032704e-05
11/03/2003,3.1997499453151335e-05
12/03/2003,3.200627248500787e-05
13/03/2003,3.172114888272404e-05
